95679	
95679	0
95680	
95680	0
95681	0
95682	1
95683	0
95684	0
95686	0
95687	135
95688	38
95689	0
95690	
95690	0
95691	2
95692	0
95693	0
95694	
95694	0
95695	1
95697	6
95698	0
95701	0
95703	1
95709	1
95713	1
95714	0
95715	0
95717	0
95720	0
95721	0
95722	2
95724	0
95726	0
95728	0
95735	0
95736	3
95742	1
95746	4
95747	3
95757	2
95758	14
95762	3
95765	9
95776	1
95811	9
95814	22
95815	10
95816	23
95817	18
95818	16
95819	16
95820	21
95821	14
95822	15
95823	19
95824	23
95825	20
95826	10
95827	8
95828	14
95829	4
95830	0
95831	18
95832	5
95833	15
95834	8
95835	12
95837	0
95838	13
95841	14
95842	25
95843	22
95864	11
95901	1
95912	0
95914	0
95916	0
95917	0
95918	0
95920	0
95925	0
95926	15
95928	1
95930	0
95932	0
95937	0
95938	0
95939	0
95941	0
95942	0
95943	0
95945	2
95948	1
95949	1
95950	0
95951	1
95953	0
95954	1
95956	0
95957	0
95959	0
95961	2
95963	0
95965	0
95966	1
95968	3
95969	2
95973	0
95974	0
95978	0
95981	0
95982	0
95987	0
95991	3
95993	2
96010	0
96021	0
96031	0
96039	0
96046	0
96092	0
96120	0
96140	1
96141	0
96142	0
96143	2
96145	0
96146	0
96148	2
96150	1
96155	0
96161	0
